term	estimate_mean	estimate_median	estimate_sd
(Intercept)	-4.846784012589725	-4.863929371477371	0.2780761243029601
dist	-4.259850465994775e-6	-4.205799311643666e-6	1.232212859148678e-7
strandOrientationdivergent	-2.6851884810057935	-2.6645538624546252	0.05994977326083956
strandOrientationforward	-1.4753521921786519	-1.4682414990481627	0.028360357872706042
strandOrientationreverse	-1.06543448110569	-1.068992800189661	0.017508675501487138
score_min	0.573741406131114	0.5911994508195951	0.07474152087803816
cor	2.021953081605714	1.9742933918652303	0.2562008911911606
