term	estimate_mean	estimate_median	estimate_sd
(Intercept)	-7.197881182161058	-7.296733639571714	0.4654596454952074
dist	-4.026337473694691e-6	-3.997599967439051e-6	9.828442850212101e-8
strandOrientationdivergent	-3.2358096740474975	-3.2231197073890065	0.05722278920887105
strandOrientationforward	-1.6551434263597475	-1.641172968128358	0.037527768076460286
strandOrientationreverse	-1.2168467960720704	-1.221605208941448	0.02674403642740989
score_min	0.9480800219689924	0.9883615483080654	0.11771266802166916
cor	2.3079273955467947	2.2347715471872256	0.34364692686620896
